site_id,segment_id,latitude,longitude,borough,street,from_street,to_street,direction,year,month,month_start,policy_period,day_type,time_band,avg_15min_volume,estimated_avg_hourly_volume,max_15min_volume,observations,days_sampled,count_sessions
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekday,AM peak (06-09),34.92,139.7,78,160,10,1
57162_40.688660_-73.803301_WB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,WB,2024,1,2024-01-01,Before congestion pricing,Weekday,AM peak (06-09),19.70,78.8,31,160,10,1
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekend,AM peak (06-09),15.00,60.0,32,64,4,1
57162_40.688660_-73.803301_WB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,WB,2024,1,2024-01-01,Before congestion pricing,Weekend,AM peak (06-09),12.31,49.2,27,64,4,1
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekday,Evening (20-23),18.11,72.4,35,160,10,1
57162_40.688660_-73.803301_WB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,WB,2024,1,2024-01-01,Before congestion pricing,Weekday,Evening (20-23),9.71,38.9,20,160,10,1
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekend,Evening (20-23),20.67,82.7,36,64,4,1
57162_40.688660_-73.803301_WB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,WB,2024,1,2024-01-01,Before congestion pricing,Weekend,Evening (20-23),10.72,42.9,21,64,4,1
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekday,Midday (10-15),29.99,120.0,61,240,10,1
57162_40.688660_-73.803301_WB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,WB,2024,1,2024-01-01,Before congestion pricing,Weekday,Midday (10-15),17.40,69.6,30,240,10,1
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekend,Midday (10-15),29.30,117.2,46,96,4,1
57162_40.688660_-73.803301_WB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,WB,2024,1,2024-01-01,Before congestion pricing,Weekend,Midday (10-15),19.52,78.1,29,96,4,1
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekday,Overnight (00-05),5.52,22.1,20,240,10,1
57162_40.688660_-73.803301_WB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,WB,2024,1,2024-01-01,Before congestion pricing,Weekday,Overnight (00-05),5.06,20.2,27,240,10,1
57162_40.688660_-73.803301_EB,57162,40.688660,-73.803301,Queens,109 AVENUE,143 Street,Pinegrove Street,EB,2024,1,2024-01-01,Before congestion pricing,Weekend,Overnight (00-05),9.71,38.8,22,96,4,1
