date,year,month,year_month,day_of_week,plaza_id_raw,facility_id,facility_code,facility_name,facility_type,direction,direction_label,ezpass_vehicles,vtoll_vehicles,total_vehicles,ezpass_share_pct,congestion_period,latitude,longitude
2025-04-12,2025,4,2025-04,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,112200,24885,137085,81.85,After congestion pricing,40.7906,-73.9228
2025-04-11,2025,4,2025-04,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,127126,25908,153034,83.07,After congestion pricing,40.7906,-73.9228
2025-04-10,2025,4,2025-04,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,127921,23307,151228,84.59,After congestion pricing,40.7906,-73.9228
2025-04-09,2025,4,2025-04,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,127066,21987,149053,85.25,After congestion pricing,40.7906,-73.9228
2025-04-08,2025,4,2025-04,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,121616,20657,142273,85.48,After congestion pricing,40.7906,-73.9228
2025-04-07,2025,4,2025-04,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,118886,20285,139171,85.42,After congestion pricing,40.7906,-73.9228
2025-04-06,2025,4,2025-04,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,113544,21358,134902,84.17,After congestion pricing,40.7906,-73.9228
2025-04-05,2025,4,2025-04,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,116912,22350,139262,83.95,After congestion pricing,40.7906,-73.9228
2025-04-04,2025,4,2025-04,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,133384,24024,157408,84.74,After congestion pricing,40.7906,-73.9228
2025-04-03,2025,4,2025-04,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,124690,21615,146305,85.23,After congestion pricing,40.7906,-73.9228
2025-04-02,2025,4,2025-04,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,124952,22124,147076,84.96,After congestion pricing,40.7906,-73.9228
2025-04-01,2025,4,2025-04,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,124856,22322,147178,84.83,After congestion pricing,40.7906,-73.9228
2025-03-31,2025,3,2025-03,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,119939,21448,141387,84.83,After congestion pricing,40.7906,-73.9228
2025-03-30,2025,3,2025-03,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,112228,21550,133778,83.89,After congestion pricing,40.7906,-73.9228
2025-03-29,2025,3,2025-03,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,122988,24824,147812,83.21,After congestion pricing,40.7906,-73.9228
2025-03-28,2025,3,2025-03,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,133728,24461,158189,84.54,After congestion pricing,40.7906,-73.9228
