timestamp_utc,date_utc,year,month,site_id,site_name,borough,latitude,longitude,pm25_daily_mean_ugm3,pm25_observed_mean_ugm3,pm25_hourly_max_ugm3,valid_hours,coverage_pct,coverage_status,quality_status
2025-01-01T00:00:00Z,2025-01-01,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,7.63,7.63,16.17,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,7.713,7.713,16.97,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,6.445,6.445,11.95,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,8.139,8.139,14.85,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,7.196,7.196,12.59,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,6.498,6.498,10.8,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,8.004,8.004,11.94,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,11.54,11.54,18.27,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,6.59,6.59,11.53,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,6.293,6.293,11.64,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-01T00:00:00Z,2025-01-01,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,6.237,6.237,11.88,24,100.0,At least 18 hours,Preliminary; subject to revision
