detection_group,detection_region,latitude,longitude,source_start_date,source_end_date,source_days,crz_entries,excluded_roadway_entries,all_entries,avg_daily_crz_entries,share_of_total_crz_pct,peak_crz_entries,overnight_crz_entries,top_vehicle_class,top_vehicle_crz_entries,coordinate_note
East 60th St,East 60th St,40.76345,-73.96915,1/5/25,9/5/26,609,44990691,0,44990691,73876.3,15.26,32722033,12268658,TLC Taxi/FHV,24199787,"Approximate point for the detection group, added for Kepler.gl mapping."
FDR Drive at 60th St,FDR Drive,40.75922,-73.958277,1/5/25,9/5/26,609,30746213,17684944,48431157,50486.4,10.43,23776382,6969831,"Cars, Pickups and Vans",18996216,"Approximate point for the detection group, added for Kepler.gl mapping."
Queens Midtown Tunnel,Queens,40.745733,-73.965187,1/5/25,9/5/26,609,26615430,0,26615430,43703.5,9.03,21425786,5189644,"Cars, Pickups and Vans",14588780,"Approximate point for the detection group, added for Kepler.gl mapping."
Lincoln Tunnel,New Jersey,40.76328,-74.0108,1/5/25,9/5/26,609,26527915,0,26527915,43559.8,9,20738295,5789620,"Cars, Pickups and Vans",19180559,"Approximate point for the detection group, added for Kepler.gl mapping."
West Side Highway at 60th St,West Side Highway,40.773485,-73.992953,1/5/25,9/5/26,609,26307799,2939592,29247391,43198.4,8.92,21267048,5040751,"Cars, Pickups and Vans",19144887,"Approximate point for the detection group, added for Kepler.gl mapping."
Holland Tunnel,New Jersey,40.727548,-74.021338,1/5/25,9/5/26,609,25146982,0,25146982,41292.3,8.53,19092279,6054703,"Cars, Pickups and Vans",17668958,"Approximate point for the detection group, added for Kepler.gl mapping."
Williamsburg Bridge,Brooklyn,40.7138,-73.9718,1/5/25,9/5/26,609,24320732,0,24320732,39935.5,8.25,17039302,7281430,"Cars, Pickups and Vans",13698962,"Approximate point for the detection group, added for Kepler.gl mapping."
West 60th St,West 60th St,40.771044,-73.987117,1/5/25,9/5/26,609,22475568,0,22475568,36905.7,7.62,17258123,5217445,TLC Taxi/FHV,12672102,"Approximate point for the detection group, added for Kepler.gl mapping."
Queensboro Bridge,Queens,40.756795,-73.95437,1/5/25,9/5/26,609,21484908,0,21484908,35279,7.29,16657279,4827629,TLC Taxi/FHV,10314183,"Approximate point for the detection group, added for Kepler.gl mapping."
Manhattan Bridge,Brooklyn,40.7074,-73.9909,1/5/25,9/5/26,609,17247655,0,17247655,28321.3,5.85,12475088,4772567,"Cars, Pickups and Vans",9826222,"Approximate point for the detection group, added for Kepler.gl mapping."
Brooklyn Bridge,Brooklyn,40.7061,-73.9969,1/5/25,9/5/26,609,16141462,12071190,28212652,26504.9,5.47,11439626,4701836,"Cars, Pickups and Vans",8824785,"Approximate point for the detection group, added for Kepler.gl mapping."
Hugh L. Carey Tunnel,Brooklyn,40.7,-74.01515,1/5/25,9/5/26,609,12834564,6025749,18860313,21074.8,4.35,11260011,1574553,"Cars, Pickups and Vans",9064157,"Approximate point for the detection group, added for Kepler.gl mapping."
