indicator,borough,county,county_fips,period,period_start_year,period_end_year,period_midpoint,latitude,longitude,age_adjusted_rate_3yr_per_10000,age_adjusted_annual_rate_per_10000,event_count_3yr,crude_rate_3yr_per_10000,crude_annual_rate_per_10000,daily_mean_events,location_precision,source
Hospitalizations,Bronx,Bronx,36005,2000-2002,2000,2002,2001-07-01T00:00:00Z,40.8448,-73.8648,191.03,63.675,25637,190.39,63.464,23.391,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2000-2002,2000,2002,2001-07-01T00:00:00Z,40.6782,-73.9442,107.29,35.763,26138,105.61,35.204,23.849,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2000-2002,2000,2002,2001-07-01T00:00:00Z,40.7831,-73.9712,104.34,34.78,14155,91.29,30.43,12.915,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2000-2002,2000,2002,2001-07-01T00:00:00Z,40.7282,-73.7949,68.93,22.978,14762,66.23,22.078,13.469,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2000-2002,2000,2002,2001-07-01T00:00:00Z,40.5795,-74.1502,54.11,18.037,2423,53.96,17.988,2.211,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2001-2003,2001,2003,2002-07-01T00:00:00Z,40.8448,-73.8648,203.61,67.871,27476,202.64,67.547,25.092,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2001-2003,2001,2003,2002-07-01T00:00:00Z,40.6782,-73.9442,110.93,36.976,26999,109,36.334,24.657,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2001-2003,2001,2003,2002-07-01T00:00:00Z,40.7831,-73.9712,105.36,35.12,14327,91.97,30.657,13.084,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2001-2003,2001,2003,2002-07-01T00:00:00Z,40.7282,-73.7949,72.4,24.135,15416,69.33,23.111,14.079,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2001-2003,2001,2003,2002-07-01T00:00:00Z,40.5795,-74.1502,52.93,17.643,2385,52.7,17.566,2.178,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2002-2004,2002,2004,2003-07-01T00:00:00Z,40.8448,-73.8648,210.91,70.302,28451,209.19,69.732,25.959,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2002-2004,2002,2004,2003-07-01T00:00:00Z,40.6782,-73.9442,110.85,36.95,26873,108.76,36.253,24.519,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2002-2004,2002,2004,2003-07-01T00:00:00Z,40.7831,-73.9712,104.2,34.733,14239,91.13,30.377,12.992,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2002-2004,2002,2004,2003-07-01T00:00:00Z,40.7282,-73.7949,73.37,24.455,15536,70.22,23.406,14.175,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2002-2004,2002,2004,2003-07-01T00:00:00Z,40.5795,-74.1502,51.21,17.069,2317,50.9,16.967,2.114,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2003-2005,2003,2005,2004-07-01T00:00:00Z,40.8448,-73.8648,207.91,69.303,27889,205.41,68.472,25.446,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2003-2005,2003,2005,2004-07-01T00:00:00Z,40.6782,-73.9442,109.88,36.626,26446,107.53,35.845,24.13,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2003-2005,2003,2005,2004-07-01T00:00:00Z,40.7831,-73.9712,100.39,33.464,13730,87.53,29.178,12.527,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2003-2005,2003,2005,2004-07-01T00:00:00Z,40.7282,-73.7949,72.55,24.183,15253,69.35,23.116,13.917,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2003-2005,2003,2005,2004-07-01T00:00:00Z,40.5795,-74.1502,50.68,16.892,2293,50.22,16.74,2.092,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.8448,-73.8648,198.78,66.259,26505,195.9,65.302,24.183,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.6782,-73.9442,104.07,34.689,24855,101.57,33.858,22.678,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.7831,-73.9712,94.07,31.356,12989,82.53,27.509,11.851,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.7282,-73.7949,69.25,23.084,14462,66.16,22.054,13.195,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2004-2006,2004,2006,2005-07-01T00:00:00Z,40.5795,-74.1502,49.86,16.621,2257,49.37,16.457,2.059,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
